college,department,number,course,description
CAS, Modern Languages and Literatures,154, Nature and the Italian Literary Imagination,"This course examines ideas and representations of nature in the Italian literary and cultural tradition. It explores the ways in which we imagine human relationship to natural and built environments, and how they shape each other. Interdisciplinary theoretical readings will guide our analysis of Italian representations of nature and spur critical reflections on global issues and Italian specificities. Class discussions will be in Italian. Presentation skills will be practiced through written assignments and oral reports. Prerequisite: ITAL 101 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,180, Novecento Italian Literature of the 20th Century,"Main trends in poetry, drama, and the novel from Pirandello to the present. Prerequisite: ITAL 101 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,182, 20th-Century Italian Women Writers,"Critical analysis of major works by leading women writers and the changing role of women in 20th-century Italian society: Grazia Deledda, Sibilla Aleramo, Elsa Morante, Natalia Ginzburg, Maria Bellonci, Laudomia Bonanni, Lalla Romano, Milena Milani, Francesca Sanvitale, Romana Petri, Isabella Bossi Fedrigotti, and Gina Lagorio. Prerequisite: ITAL 101 or equivalent. Also listed as WGST 185. (5 units)"
CAS, Modern Languages and Literatures,183, Women in Italian Cinema: The Impact of Globalization,"Focus is on the films with a global viewpoint of numerous Italian film directors. Examination of Italian masterpieces (including black-and-white films of the 1940s and 1950s) with special focus on the changing aspects of global society and their impact on individuals, especially women. Films by women directors whose work may give a contrasting vision of globalization and its enabling and challenging aspects. Prerequisite: ITAL 101 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,187I, Destination Italy: Immigration in Film and Literature,"A country with a long history of emigration, Italy has, since the 1980s, become a destination for immigrants from all over the world. The Italian cultural landscape is being reshaped by a growing number of engaging literary, filmic, and other cultural works by and about immigrants. We will analyze how writers and filmmakers create new modes of representation that actively engage with issues of marginalization, race, citizenship, labor, gender, and national identity. Course taught in Italian. Prerequisite: ITAL 101 or equivalent. Course fulfills the Civic Engagement Core Curriculum requirement. (5 units)"
CAS, Modern Languages and Literatures,194, Peer Educator in Italian,"Peer educators are invited by faculty to work closely with them, facilitating learning in a lower-division course. May be repeated for credit by permission of the instructor. (2 units)"
CAS, Modern Languages and Literatures,197, Special Topics,"Variable topics in culture, literature, and film. May be retaken for credit. (5 units)"
CAS, Modern Languages and Literatures,198, Directed Study,Individually designed programs of advanced study. Normally restricted to seniors who are declared Italian studies majors or minors and who find themselves in special circumstances. May be taken only once. Courses exempted from challenge may not be taken as directed study. Written course outline must be approved by instructor and department chair in advance of registration. Prerequisite: ITAL 101 or equivalent. (1–3 units)
CAS, Modern Languages and Literatures,199, Directed Reading,Individually designed programs of advanced readings. For seniors only. Written permission of the instructor and department chair is required in advance of registration. Prerequisite: ITAL 101 or equivalent. (1–5 units)
CAS, Modern Languages and Literatures,185, The Italian American Experience,"This course studies the presence of Italian Americans in the United States from their first massive immigration at the end of the 19th century to the present. We will explore how Italians gradually transformed themselves from cultural and political outsiders into integral performers for the development of the United States as a nation. Additionally, by studying how Americans and Italians negotiated different ideas concerning identity, tradition, and community, we will draw attention to contemporary parallels pertaining to the immigration of groups that have threatened or threaten ideas of what it means to be an American citizen in the 21st century. Course counts for Diversity Core and American Studies Pathway. Conducted in English, but contains an Italian component for Italian Studies majors and minors. Prerequisite: None. (5 units)"
CAS, Modern Languages and Literatures,187, Destination Italy: Immigration in Film and Literature,"This course explores contemporary immigration to Italy through the lens of film and literature. It analyzes how filmmakers and writers from different backgrounds are creating new modes of representation that actively engage with issues of marginalization, race, citizenship, cultural hybridity, gender and national identity. We will also reflect on Italy's colonial past in Africa, the connections between emigration and immigration, and the effects of Mediterranean crossings and global migrations on the Italian nation today. Prerequisites: NONE. Course is taught in English and DOES NOT satisfy the Second Language requirement. Credit for Italian Major/Minor possible with permission of instructor and Dept. Chair. (5 units)"
CAS, Modern Languages and Literatures,1, Japanese Language and Culture I,This is the first in a series of six basic courses in Japanese language and culture. JAPN 1 is designed for students with no prior experience with Japanese. It aims to develop students’ communicative language skills and intercultural competence through active in-class conversation activities as well as engagement with Japanese culture and perspectives. Offered only in fall. Prerequisite: None. (4 units)
CAS, Modern Languages and Literatures,2, Japanese Language and Culture II,This is the second in a series of six basic courses in Japanese language and culture. This proficiency-based course aims to develop students’ communicative language skills and intercultural competence further through active in-class conversation activities and engagement with cultural topics. Offered only in winter. Prerequisite: JAPN 1 or placement test recommendation. (4 units)
CAS, Modern Languages and Literatures,3, Japanese Language and Culture III,"This is the third in a series of six basic courses in Japanese language and culture.  This proficiency-based course aims to expand students’ communicative language skills in more varieties of situations and contexts, while developing intercultural competence further. Offered only in spring. Prerequisite: JAPN 2 or placement test recommendation. (4 units)"
CAS, Modern Languages and Literatures,21, Japanese Language and Culture IV,"This is the fourth in a series of six basic courses in Japanese language and culture. This proficiency-based course is designed to further develop effective communication skills, both spoken and written, focusing on familiar, everyday topics (e.g., inviting a friend to an event, chatting about movies etc., and asking for recommendations). Students will also cultivate a greater awareness and understanding of Japanese culture to foster interaction at a more functional level. Course conducted predominantly in Japanese in a highly interactive environment. Offered only in fall. Prerequisite: JAPN 3 or placement test recommendation. (4 units)"
CAS, Modern Languages and Literatures,22, Japanese Language and Culture V,"This is the fifth in a series of six basic courses in Japanese language and culture. This proficiency-based course is designed to further develop effective communication skills, both spoken and written, focusing on familiar, everyday topics, as well as learning about holidays and cultural events in Japan. Students will be exposed to some formal language usage in both spoken and written modes and learn to use Japanese in a presentational format. Offered only in winter. Prerequisite: JAPN 21 or placement test recommendation.(4 units)"
CAS, Modern Languages and Literatures,23, Japanese Language and Culture VI,"This course completes the two-year basic Japanese language and culture series. It emphasizes socio-culturally appropriate interactions in Japanese, while fostering communication skills in everyday interactions and intercultural competence. More focus is given to interactions in situations in Japan, such as shopping and getting around in Japan.  Offered only in spring. Prerequisite: JAPN 22 or placement test recommendation. (4 units)"
CAS, Modern Languages and Literatures,100, Oral Communication in Japanese,
CAS, Modern Languages and Literatures,101, Japanese Popular Culture,"This course aims to develop proficiency in Japanese language skills (speaking, listening, reading, and writing), and to foster cultural competence and critical thinking skills through the exploration of Japanese popular culture (e.g., manga, anime, songs). Students will explore a variety of cultural artifacts and multi-media to understand and critically analyze the values, customs, beliefs, and perspectives that popular culture brings to Japanese-speaking communities. This course is taught entirely in Japanese. Prerequisite: JAPN 23 or a placement test recommendation for 100-level Japanese UD courses. (5 units)"
CAS, Modern Languages and Literatures,102, Contemporary Japanese Society through Media,"This course aims to develop proficiency in Japanese language and students’ understanding of Japanese society through examination of Japanese TV dramas and films that handle contemporary issues in Japan. Students will examine language usage in the media and discuss the societal issues at hand, compare and contrast with the situations in the U.S. and other cultures. This course is taught entirely in Japanese. Prerequisite: JAPN 23 or a placement test recommendation for 100-level Japanese UD courses. (5 units)"
CAS, Modern Languages and Literatures,103, Japanese Culinary Culture,
CAS, Modern Languages and Literatures,190, Special Topics - Study Abroad (Taught in English),Variable topics in Japanese studies taught in English during study abroad. May be retaken for credit. (1-5 units)
CAS, Modern Languages and Literatures,191, Special Topics - Study Abroad (Taught in Japanese),Variable topics in Japanese studies taught in Japanese during study abroad. May be retaken for credit. (1-5 units)
CAS, Modern Languages and Literatures,194, Peer Educator in Japanese,"Peer educators are invited by faculty to work closely with them, facilitating learning in a lower-division course. May be repeated for credit by permission of the instructor. (2 units)"
CAS, Modern Languages and Literatures,197EN, Special Topics Taught in English,Variable topics in Japanese studies taught in English. May be retaken for credit. (1-5 units)
CAS, Modern Languages and Literatures,197J: Special Topics Taught in Japanese,,Variable topics in Japanese studies taught in Japanese. (1-5 units)
CAS, Modern Languages and Literatures,198, Directed Study,Individually designed programs of advanced study. Normally restricted to seniors who are declared Japanese studies minors and who find themselves in special circumstances. May be taken only once. Courses exempted from challenge may not be taken as directed study. Written course outline must be approved by instructor and department chair in advance of registration. (1–3 units)
CAS, Modern Languages and Literatures,199, Directed Reading,Individually designed programs of advanced readings. Written permission of instructor and department chair required in advance of registration. (1–5 units)
CAS, Modern Languages and Literatures,1N, Introduction to Elementary Spanish,"Designed for those who have not previously studied Spanish. A proficiency-based course dedicated to developing basic communicative and intercultural skills in preparation for Spanish 1. Emphasis is on: 1) functional language use (speaking, viewing/listening, reading, writing) in simple activities of daily life, and 2) engagement with Hispanic cultures and perspectives. Conducted in level-appropriate Spanish. Prerequisite: Placement survey recommendation to take Spanish 1N required  (4 units)"
CAS, Modern Languages and Literatures,1, Introduction to Spanish and Spanish-Speaking Cultures 1 ,"An elementary course designed for those who have had some exposure to Spanish studies in high school. A proficiency-based course dedicated to expanding students’ communicative and intercultural competence. Emphasis is on interaction (speaking, viewing/listening, reading, writing) in authentic contexts related to daily routines, family and social life, and 2) engagement with Hispanic cultures and perspectives. Conducted in level-appropriate Spanish. Prerequisite: placement survey and test recommendation to take Spanish 1, or completion of Spanish 1N at SCU. (4 units) "
CAS, Modern Languages and Literatures,2, Introduction to Spanish and Spanish-Speaking Cultures 2 ,"An elementary course designed for those who have had some exposure to Spanish studies in high school, and/or SPAN 1. A proficiency-based course dedicated to expanding students’ communicative and intercultural competence. Emphasis is on interaction (speaking, viewing/listening, reading, writing) in authentic contexts related to tasks of daily life, entertainment, customs and traditions, and 2) engagement with Hispanic cultures and perspectives. Conducted in level-appropriate Spanish. Prerequisite: placement survey and test recommendation to take Spanish 2, or completion of Spanish 1 or 1N at SCU. (4 units)"
CAS, Modern Languages and Literatures,3, Introduction to Spanish and Spanish-Speaking Cultures 3,
CAS, Modern Languages and Literatures,21, Crossing Boundaries (Intermediate) ,"This course explores themes and topics related to childhood, family, education and travel both within and between Spanish speaking countries. Through comparison, summarization, and story-telling, students will develop a greater intercultural awareness of the diverse experiences and social classes in different Spanish speaking countries, including the US. This intermediate-level course develops speaking, reading, and writing comprehension and production skills through multimedia and a novel. Course is conducted in Spanish. Prerequisite: Completion of SPAN 3 or Placement recommendation for Intermediate Spanish. (4 units)"
CAS, Modern Languages and Literatures,21A, News and Culture in the Hispanic World (Intermediate),"What is new and newsworthy in the Spanish-speaking world? Who decides this, and does that process differ between U.S. and Spanish-speaking cultures and societies? In this intermediate-level course with its emphasis on oral interaction and comprehension, students will deepen their knowledge of Hispanic cultures and societies within a project-based framework that focuses on analysis of news media in its many forms. Prerequisite: Completion of SPAN 3 or Placement recommendation for Intermediate Spanish. (4 units)"
CAS, Modern Languages and Literatures,22, Latino Cultures and Identities in Contemporary Film (Intermediate),"The course will explore identity in contemporary film from Spanish-speaking countries, looking at immigration, social class, and national identity. What are some of the parallels and contrasts that can be seen across cultures and nations? This intermediate level course will focus on developing oral speaking and comprehension skills as well as academic reading and writing skills. Students will work in all major tenses to discuss and analyze linguistic and cultural nuances using a communicative approach. Course conducted in Spanish. Prerequisite: Completion of SPAN 3 or Placement recommendation for Intermediate Spanish. (4 units)"
CAS, Modern Languages and Literatures,22A," Gender, Identity, and Food Cultures in Latin America","This intermediate-level course is designed to improve students’ conversational and writing abilities in Spanish through a content-based approach focused on the study of food cultures as represented in the documentary series Street Food: Latin America, and other excerpts of novels and articles. We will explore multiple stories of both “fitting the mold” and “breaking the mold” of gender and cultural norms and finding passion in food production,preparation and consumption. The course also aims to equip students with critical tools to understand and evaluate the relationship between food and culture in Latin America at local levels. Students will work in all major tenses to discuss, analyze, express opinions on linguistic and cultural commonality and diversity. Prerequisite: Completion of SPAN 3 or Placement Recommendation for Intermediate Spanish. (4 units)"
CAS, Modern Languages and Literatures,22B," Spanish, Technology, & Culture","New technologies have sparked massive changes all across the globe, transforming the way we live in the present and raising previously unimaginable hopes – and fears – about the future. This course will examine the role that these technologies are playing in shaping the Spanish-speaking world, with particular emphasis on the impact of social media on personal relationships and mental health; the influence of artificial intelligence (AI) on standard of living, and the “digital divide” that limits access to technological developments; and the role of technology in the economic development and exploitation of natural resources in Latin America. This course is conducted in Spanish, and employs a communicative approach with a heavy emphasis on in-class interaction and collaboration among students in order to critically engage with language and culture. Prerequisite: Completion of SCU Spanish 3 or MODLL Placement Test Recommendation for Intermediate Spanish. (4 Units)"
CAS, Modern Languages and Literatures,22EL," Immigration Stories: Cultural, Political, and Personal Narratives (Intermediate)","This course includes a minimum of 16 hours working with and learning from community partners. All students enrolled in SPAN 22EL will be automatically enrolled in SPAN 97 (Community-Based Learning Practicum) at the end of the first week of class. The course will explore stories of immigration to the U.S. from Mexico and Central America from past and present, using film, literature, and other media. Students will integrate contemplation of cultural, political, and personal factors into written and oral reflections on their community-based learning experiences, and will likewise integrate what they learn from community partners into their contemplation of these issues. This course will also focus on developing speaking and listening comprehension skills as well as academic reading and writing skills. Course conducted in Spanish. Note: This course requires participation in community-based learning (CBL) experiences off campus.  Prerequisite: completion of SPAN 3 at SCU (or equivalent) or SCU Modern Languages & Literatures Department placement recommendation for Intermediate Spanish. NOT open to students who have received a placement recommendation for 100 level Spanish courses, or who have already completed or are currently enrolled in a 100-level Spanish course. (4 units) "
CAS, Modern Languages and Literatures,23, Activism and Social Justice in the Spanish-speaking World (Intermediate),"This course introduces different aspects of the intersection of the arts, activism and social justice in the Spanish-speaking world. Students will explore said topics in numerous Spanish-speaking countries, including the US, to gain a deeper intercultural comprehension of inequality in their own communities and abroad, through communicative and project-based projects, class discussions, and reading and writing assignments. Course is conducted in Spanish. Prerequisite: Completion of SPAN 3 or Placement recommendation for Intermediate Spanish.(4 units) "
CAS, Modern Languages and Literatures,97, Community-Based Learning Practicum,"For students concurrently enrolled in SPAN 21EL, 22EL, or 23EL, an Experiential Learning for Social Justice component, an integrated, reflective, community-based learning placement. Includes eight weeks of participatory work in a community agency. Requirements: Two hours per week at agency site over course of the placement. (1 unit)"
CAS, Modern Languages and Literatures,100, Introduction to Cultural Analysis in Spanish ,"Advancement of Spanish-language skills through an introduction to basic conceptual tools to analyze narrative or visual works of art, or other forms of non-fictional discourse in the Spanish language. Practical approach to these works through class discussion, oral presentation, and written essay. Prerequisites: completion of SPAN 23 or the equivalent; or placement recommendation for Spanish 100-110.  (5 units)"
CAS, Modern Languages and Literatures,101, Discourse and Interpretation: Introduction to Literature and Film Analysis in Spanish ,Foundation for more thorough study of works in the Spanish language through the practice of oral and written analysis of literary and filmic works tied together by a common theme.  Prerequisites: Completion of SPAN 23 or the equivalent; or placement recommendation for Spanish 100-110. NOTE: Students who have scored a 5 on the Spanish Advanced Placement Literature test are encouraged to take Spanish 101 instead of Spanish 100. (5 units)
CAS, Modern Languages and Literatures,101M,  Discourse and Interpretation: Narratives of Migration,Foundation for more thorough study of works in the Spanish language through analysis of literary and filmic works tied together by themes of migration and displacement.  Prerequisites: SPAN 23 or the equivalent; or placement recommendation for Spanish 100-110. NOTE: Students who have scored a 5 on the Spanish Advanced Placement Literature test are encouraged to take Spanish 101 instead of Spanish 100.  (5 units)
CAS, Modern Languages and Literatures,101S,  Medical Narratives,TBA  .  Prerequisites: SPAN 23 or the equivalent; or placement recommendation for Spanish 100-110. NOTE: Students who have scored a 5 on the Spanish Advanced Placement Literature test are encouraged to take Spanish 101 instead of Spanish 100.  (5 units)
CAS, Modern Languages and Literatures,102, The Sounds & Words of Spanish ,"What is an accent and who has one? Can a second language learner ever sound just like a native speaker? Can you teach someone to roll their R’s? This course offers an introduction to the sound system of Spanish from the perspective of linguistic science, which will help you answer these questions and more. We will explore how Spanish sounds are produced and perceived by native speakers, how Spanish learners can improve their pronunciation of the language, how the pronunciation of Spanish varies across different geographic and social varieties, and how these sounds combine with others in systematic ways to form Spanish words. By studying the relationship between sounds and words, students can also improve their comprehension of written and spoken Spanish. This course is conducted in Spanish. Prerequisites: completion of Spanish 23 (or equivalent) OR SCU Modern Languages & Literatures Department placement recommendation for Spanish 100-110.  (5 units)"
CAS, Modern Languages and Literatures,103, The Structure of Spanish Words and Phrases,"What’s the difference between a phrase and a sentence?  Why don't native speakers always use the imperfect or the subjunctive or ser and estar according to the same rules you learned in Spanish classes? This linguistics course will help you answer these questions and more. We will explore how Spanish speakers create and manipulate meaning through word and sentence structures, and how these structures vary across different geographic and social varieties. By studying Spanish from this linguistic perspective, students will improve their grammatical acumen, their comprehension of both spoken and written Spanish, and their writing abilities. Prerequisites: completion of at least one course in Spanish 21 - 23 at  SCU (or equivalent) OR SCU Modern Languages & Literatures Department placement recommendation for Spanish 100-110. (5 units)"
CAS, Modern Languages and Literatures,104, My Hispanic Heritage: Language & Identity,"Did you grow up hearing and/or speaking Spanish at home? Are you interested in exploring the historical, cultural, artistic, and linguistic features of the Hispanic community in the United States? “My Hispanic Heritage” is a course specifically designed for heritage language learners of Spanish, that is, students who have learned or been exposed to Spanish at home or within their community. The course focuses on the development of linguistic and bicultural literacies through the analysis and use of the heritage language. In particular, the course provides you with the opportunity to revitalize and/or expand your Spanish language skills in speaking, listening, reading, and writing—inductively learning grammatical and orthographic aspects of particular concern to learners of Spanish as a heritage language. We will also explore the notion of ‘identidad’ and how it is constructed across Latinx communities in the U.S. Prerequisites: SCU language placement recommendation for Spanish 100-110 or above. (5 units)"
CAS, Modern Languages and Literatures,106B, Spanish for Business,"This course will examine social, cultural, and linguistic practice in the Spanish-speaking world through the lens of the professional environment. What are the various political, social, and economic contexts of the business practices that we see manifested today? How are business practices changing in Spanish-speaking contexts? What does it mean to engage in “intercultural communication” and what effect does this dynamic have on international business? In this course, you will collaborate with your classmates to analyze these issues, while also developing your own professional portfolio, in Spanish, that you can apply in the real world. Prerequisites: completion of Spanish 23 (or equivalent) OR SCU Modern Languages & Literatures Department placement recommendation for Spanish 100-110. (5 units)"
CAS, Modern Languages and Literatures,106I, Spanish for International Relations,"This is a learner-centered course in which students have the opportunity to build the cultural, political, and linguistic competence required to communicate appropriately and effectively in Spanish in the context of international relations. The content of the course comprises three main areas of study: Latin America’s process of democratization, dictatorships in the Southern Cone of Latin America, and the negotiation of the peace agreement in Colombia signed in 2016, among other “dis/agreements” that involve international dialogue. The course includes written and oral pedagogical materials including reports from international organizations, news articles, and films. Assessment includes debates, presentations, written reflections, exams, and a learner’s portfolio.Prerequisites: completion of Spanish 23 (or equivalent) OR SCU Modern Languages & Literatures Department placement recommendation for Spanish 100-110. (5 units)"
CAS, Modern Languages and Literatures,107, Writing Workshop ,"Development of proficiency in written Spanish through a collaborative workshop.  Focus on close reading, complex sentence construction, structure and disposition of arguments through practical exercises and peer review. Prerequisites: completion of Spanish 23 (or equivalent) OR SCU Modern Languages & Literatures Department placement recommendation for Spanish 100-110. (5 units)"
CAS, Modern Languages and Literatures,110, Oral Communication in Spanish ,"This course introduces students to various forms of oral interaction in their cultural contexts. Emphasis is placed on learning to employ the linguistic features (words, phrases, intonation, gestures) of Spanish necessary to function and actively participate in Spanish-speaking communities. Through analysis of native-speaker interactions and active practice, students will learn how to initiate, manage and close conversations, negotiate (e.g. with a landlord), tell a joke, give a compelling speech, etc. Students will also engage with cultural topics through readings, film, videos, other media, and discussion. Course activities include pair and group conversations, role-plays, vlogs and podcasts, etc. All students will be required to carry-out conversation activities with native Spanish-speakers outside of class hours. This course is conducted in Spanish. Prerequisites: completion of Spanish 23 (or equivalent) OR SCU Modern Languages & Literatures Department placement recommendation for Spanish 100-110.  (5 units)"
CAS, Modern Languages and Literatures,112, Mexican Culture,"Although Mexico is a neighboring country, bordering California itself, its image in America is profoundly deformed and simplified. Through a selection of readings and films, the course offers an introductory review of Mexican history, contemporary social and political developments, and fine arts and music, with particular attention to cultural values. Most readings in Spanish, films in Spanish with English subtitles. Prerequisite: SPAN 100 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,113, The Revolution in Mexican Culture,"The Mexican Revolution (1910-1940) was a foundational event in that nation’s history. Both a political and social revolution, it sought to fundamentally reshape the Mexican social order through land and education reform, the protection of workers’ rights, the nationalization of resources, and the championing of peasant and indigenous communities. Though the Constitution of 1917, one of its most important legacies, was one of the first national documents in the world to enshrine both political and socio-economic rights, the Revolution only partially achieved its lofty goals. In this course, we will examine the works of Mexican authors, artists, and filmmakers who reflect on the Revolution’s triumphs and its failings, as well as its lasting repercussions in contemporary Mexican society. Prerequisite: Spanish 101, or equivalent. (5 units)"
CAS, Modern Languages and Literatures,114, Culture and Society of the US-Mexico Border,"A study of social and cultural aspects of the U.S.-Mexico border. This course discusses topics such as labor, environmental, immigration, and women’s issues, but with attention also to current discourse on the border in cultural critique and the arts. By the end of the course, students will be expected to have developed a more coherent and sophisticated view of the border region than that generally purported by commercial media outlets. Prerequisite: SPAN 100 or equivalent. Recommended prerequisite: SPAN 101 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,123, Contemporary Spanish Culture,"In this course we will utilize a multi-disciplinary approach grounded in cultural studies to consider the evolving expression of overarching themes such as migration, gender, and class in an effort to better understand modern Spanish society. We will focus initially on the sociopolitical context of the Spanish Civil War (1936-39), the subsequent Franco dictatorship, and the Transition to democracy that began upon Franco’s death in 1975. We will then consider questions of gender, migration, and nationalisms in recent decades. We will analyze a variety of texts, including short stories, poetry, architecture, visual art, and contemporary films.   Prerequisite: Completion of at least one upper-division course in Spanish, level 100-110 (SPAN 100, 101, 101C, or 101M recommended) or permission of instructor. (5 units)"
CAS, Modern Languages and Literatures,125, Colloquium: Spanish Literature and Culture,Topics vary. Study and discussion of selected themes in Spanish Peninsular literature and culture. May be retaken for credit. Prerequisite: SPAN 101 or equivalent.  (5 units)
CAS, Modern Languages and Literatures,130, Survey of Latin American Literature I,Latin American literature from the pre-Columbian period to 1888. Prerequisite: SPAN 101 or equivalent. (5 units)
CAS, Modern Languages and Literatures,131, Survey of Latin American Literature II,"This course is an upper-division level survey of major works of contemporary Latin American poetry and narratives, including figures such as Roberto Bolaño, Rigoberta Menchú, Gabriel García Márquez, Mario Vargas Llosa, Jorge Luis Borges, Gabriela Mistral, Alfonsina Storni, among others. The class will be conducted in Spanish. Prerequisite: SPAN 101 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,132, Hispanic Voices for Social Change,"This course examines coherent strategies of resistance and adaptation that respond to experiences of social injustice, inequality, and geographic displacement throughout the 20th- and 21st-centuries in the Spanish-speaking world. Through the analysis of short fiction, poetry, film, testimonio, and critical texts, the course explores four principal historical events: the Spanish Civil War, the Guatemalan indigenous genocide, the effects of neoliberal capitalism on U.S.-Mexico relations, and Argentina’s Dirty War.   Prerequisite: Completion of at least one upper-division course in Spanish, level 100-110 (SPAN 100, 101, 101C, or 101M recommended) or permission of instructor.  (5 units)"
CAS, Modern Languages and Literatures,133, Mexican American Literature,"Reading, analysis, and discussion of Mexican American literature in its historical context. Emphasis on the novel and short story. Also listed as ETHN 128. Prerequisite: SPAN 101 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,135, Colloquium: Latin American Literature and Culture,Topics vary. Reading and discussion of selected themes in Latin American literature and culture. May be retaken for credit. Prerequisite: SPAN 101 or equivalent. (5 units)
CAS, Modern Languages and Literatures,136, Contemporary Latin American Short Story,Examination of the Latin American short story from Quiroga to the present. Representative works reflecting the diverse cultural backgrounds and ideologies of the authors. Prerequisite: SPAN 100 or equivalent. (5 units)
CAS, Modern Languages and Literatures,137, Latin American Cultures and Civilizations,Exploration of factors and conditions that have molded and continue to shape the diverse lives and institutions of contemporary Spanish-speaking peoples of the Americas. Prerequisite: SPAN 101 or equivalent. (5 units)
CAS, Modern Languages and Literatures,139, Haunted Literature: Ghosts and the Talking Dead in Latin American Narrative,"Ghosts hauntings and the talking dead are recurrent tropes in the Latin American cultural imagination. Through a selection of fiction and critical writings, this course will examine the recurrence and significance of this imagery in contemporary narrative genres. Discussions may include the following writers and directors: María Luisa Bombal, Juan Rulfo, Julio Cortázar, Gioconda Belli, Tomás Eloy Martínez, Guillermo del Toro, and Alejandro González Iñárritu. Prerequisites: SPAN 101 or the equivalent and at least one survey course in Latin American literature. (5 units)"
CAS, Modern Languages and Literatures,140, Narratives of Money,"Study of literature, film, and other cultural expressions in Spanish with a focus on financial issues and their impact on Latin American and Spanish societies and cultures.  The course may explore a variety of topics connected to money and material exchanges, such as debt, precarity, extractive economies, labor, or inequality. Prerequisites: SPAN 101 or any other course with a focus on literary analysis, or permission of the instructor. (5 units)"
CAS, Modern Languages and Literatures,142, Narconarrativa,"By most estimates, the wave of violence that has assailed Mexico since then-president Felipe Calderón launched the war on drug trafficking in 2006 has claimed nearly 200,000 lives. This seemingly pervasive brutality has precipitated its aesthetic representation across a wide range of genres and discourses, including journalism, literature, music, and the visual arts. Principal among these cultural productions is a subgenre of crime novel known as the narconovela. In this course we will examine how narconarrativa presents the drug trade between the U.S. and Mexico and analyze its literary and cinematic representations, considering both their limitations and function as social critique. Course prerequisite is SPAN 101, or equivalent. (5 units)"
CAS, Modern Languages and Literatures,143,  Detective Short Story,"Detective fiction is considered by many as mere escapist entertainment. However, as we will discover in this course, it can contain a subtle yet mordant denunciation of social injustice. This is especially true in societal conditions that preclude an open discussion of institutional abuses, as was the case in the dictatorial and post-dictatorial states of Ibero-America in the second-half of the 20th century. In more recent decades, the detective story can be read as a commentary on the social inequality that characterizes modern society. In this class we will read a selection of short stories from various sub-genres of detective fiction and analyze how each of these texts serves as social critique.  Prerequisite: SPAN 101 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,144, Contemporary Indigenous Cultures,"The course introduces students to the interdisciplinary questions that concern Indigenous communities (cultural resistance, political representation, marginalization, language revitalization, decolonization, etc.) in the Americas. In particular, the class discusses how aboriginal practices/knowledges have informed contemporary politics, epistemologies, aesthetics, urbanism, ways of living, and ecologies. By analyzing, interpreting, and evaluating the works of different Amerindian artists and thinkers, students will develop their critical thinking, intercultural perspective, and respect for ethnic diversity. Prerequisites: SPAN 101 or equivalent. Spanish Major and/or Minor requirements it will fulfill: One course in literature/culture studies above 110. (5 units)"
CAS, Modern Languages and Literatures,146, Latin American Documentary,Students will become aware of contemporary social and political issues in Latin America through a selection of recent and thought-provoking documentary films.  The course aims to stimulate cultural competence as well as critical thinking in Spanish by exposing students to relevant matters in the target cultures.  Prerequisite: SPAN 100 or the equivalent.  (5 units)
CAS, Modern Languages and Literatures,147," Cinema, Politics, and Society in Latin America","The course aims to introduce the students to current political and social issues in Latin America through exposition to and discussion of some relevant commercial or independent films of recent decades. Textbook material and additional readings from journalistic, literary, or academic contexts will further expand on the themes exposed in each film. Prerequisite: SPAN 100 or the equivalent. (5 units)"
CAS, Modern Languages and Literatures,148, 20th-Century Latin American Women Writers,"Reading, analysis, and discussion of novels and short fiction by major Latin American women writers of the 20th century (e.g., Bombal, Garro, Poniatowska, Allende, Valenzuela, and others). Prerequisite: SPAN 101 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,152," Politics of Gender, Migration & Memory: Exploring Contemp Spain Through the Graphic Novel, Art & Film","This course presents 1) why the graphic novel is such an important medium for communication in today’s world, while considering its borrowings and influences upon other genres, and 2) how Spanish art, graphic novel, and film represent trauma, gender, and migration through the 20th century to the present, including periods of political and social transition, such as the Spanish Civil War, Francisco Franco’s dictatorship, and the democratic Transition in 1975. Prerequisite: Spanish 101 or equivalent. (5 units)"
CAS, Modern Languages and Literatures,156, Representations of the Migrant Condition in Contemporary Spain,"In this course we will explore themes related to exile, immigration, racism, gender, identity, nationalism, and citizenship in 20th- and 21st-century Spain. We will analyze a variety of cultural productions (short story, testimony, novel, film, and critical texts) created about and by migrants. In these texts, we will consider guiding questions that include: Who are “we” and who are “others”? What identities are typically cast as normative and which as marginal? What dichotomies become manifest in the narrative or filmic expressions of those identities that comprise present-day Spain? Do bicultural identities exist in contemporary Spain? Prerequisite: SPAN 101 or equivalent. (5 units)"
